year	month	day	streamflow
1952	11	14	0
1952	11	15	0
1952	11	16	0
1952	11	17	0
1952	11	18	0
1952	11	19	0.9911
1952	11	20	0.2209
1952	11	21	0.0481
1952	11	22	0.0113
1952	11	23	0.0113
1952	11	24	19.3121
1952	11	25	21.9456
1952	11	26	5.4368
1952	11	27	1.4725
1952	11	28	0.623
1952	11	29	0.3964
1952	11	30	0.218
1952	12	1	0.1444
1952	12	2	0.0906
1952	12	3	0.0736
1952	12	4	0.0538
1952	12	5	0.0311
1952	12	6	0.017
1952	12	7	0.0142
1952	12	8	0.0113
1952	12	9	0.0057
1952	12	10	0.0057
1952	12	11	0.0028
1952	12	12	0.0028
1952	12	13	0
1952	12	14	0
1952	12	15	0
1952	12	16	0
1952	12	17	0
1952	12	18	0.623
1952	12	19	19.482
1952	12	20	1.8972
1952	12	21	0.7079
1952	12	22	0.3681
1952	12	23	0.2294
1952	12	24	0.1671
1952	12	25	0.1274
1952	12	26	0.1019
1952	12	27	0.0906
1952	12	28	0.0821
1952	12	29	0.0765
1952	12	30	6.881
1952	12	31	7.5606
1953	1	1	3.0582
1953	1	2	1.5008
1953	1	3	1.0194
1953	1	4	0.7929
1953	1	5	0.6796
1953	1	6	0.5663
1953	1	7	0.5097
1953	1	8	0.4531
1953	1	9	0.3398
1953	1	10	0.269
1953	1	11	0.2294
1953	1	12	0.1756
1953	1	13	0.1444
1953	1	14	0.1359
1953	1	15	0.1161
1953	1	16	0.1756
1953	1	17	0.2379
1953	1	18	0.2294
1953	1	19	0.2294
1953	1	20	0.218
1953	1	21	0.1671
1953	1	22	0.1671
1953	1	23	0.0963
1953	1	24	0.0538
1953	1	25	0.0396
1953	1	26	0.0198
1953	1	27	0.0057
1953	1	28	0.0057
1953	1	29	0.0057
1953	1	30	0.0057
1953	1	31	0.0057
1953	2	1	0.0057
1953	2	2	0.0057
1953	2	3	0.0057
1953	2	4	0.0028
1953	2	5	0.0028
1953	2	6	0.0028
1953	2	7	0.0028
1953	2	8	0.0028
